S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
1,Capital India,102.95,,800.27,0.1,-23.51,-916.39,158.87,-37.27,3.11,587.91,6.67,-23.17,-12.4,1.29,-1.45,25.34
2,BCL Industries,331.7,9.35,801.06,1.51,17.75,5.22,374.88,-16.44,23.69,1905.93,7.02,85.65,17.75,2.18,12.06,49.73
3,Madras Fertilize,49.85,4.01,803.08,0,63.02,153.6,813.05,64.3,28.08,2620.36,11.01,200.22,63.02,,10.6,10.76
4,Kalyani Invest.,1845.1,18.21,806.31,0,-0.62,-105.05,2.34,18.18,1.43,31.06,82.55,44.29,-0.62,0.15,1.12,25.34
5,Universal Cables,233.6,10.15,810.48,0.64,26.77,22.69,513.8,84.71,9.44,2049.17,6.72,79.87,26.77,0.63,2.93,28.82
6,SMC Global Sec.,77.45,5.32,810.9,3.1,37.01,-22.62,290.49,13.81,20.76,1126.69,23.51,152.55,36.98,0.95,6.55,25.34
7,AXISCADES Tech.,215.8,28.02,820.11,0,-31.69,504.1,184.25,64.32,13.8,682.41,12.22,29.27,7.37,2.47,3.1,27.72
8,Orient Bell,569.25,18.58,823.2,0.18,7,236.72,154.5,78.16,13.6,722.09,10.04,44.3,7,2.88,7.35,28.43
9,Kopran,171.75,13.3,828.02,1.75,7.6,19.5,125.62,66.76,21.4,527.82,18.04,62.27,7.6,1.94,11.62,27.89
10,Som Distilleries,118.35,21.15,828.29,0,8.25,430,146.52,89.18,0.57,636.02,10.78,39.17,8.25,2.51,-1.4,28.83
11,Ashapura Minech.,91.05,13.59,832.98,0.55,35.17,-41.75,401.83,-11.06,12.28,1227.89,6.49,61.3,35.17,1.6,3.08,9.79
12,Music Broadcast,24.15,115.15,834.83,0,0.01,100.08,44.14,115.53,-1.37,192.09,14.84,7.25,0.01,1.38,-1.43,50.99
13,The Anup Enginee,850.6,14.46,840.49,0.94,13.71,-13.88,100.96,13.37,17.44,299.94,21.58,58.13,13.71,2.07,13.15,34.41
14,Binny,376.75,14.08,840.91,0,29.15,822.47,48.63,1266.01,14.26,119.42,81.85,59.71,29.15,2.29,3.24,30.9
15,Ganesh Benzopl.,135,24.32,841.85,0,11.18,21.79,45.51,-38.21,16.75,262.54,22.7,34.61,11.18,3.16,8.92,26.53
16,Navkar Corporat.,55.95,10.81,842.15,0,23.73,81.28,237.84,8.56,5.67,875.17,22.6,77.88,23.73,0.45,2.63,27.06
17,Artemis Medicare,63.15,22.71,842.59,0,8.7,109.13,163.47,35.68,9.98,587.78,12.5,37.11,8.7,2.31,5.12,31.71
18,Saint-Gob. Sekur,92.9,29.65,846.41,1.61,6.88,94.35,44.65,68.3,18.3,169.4,22.18,28.55,6.88,4.7,12.54,32.53
19,Beekay Steel Ind,444.25,5.39,847.28,0.23,50.82,1.05,335.18,19.2,24.46,1352.97,16.62,157.24,50.82,1.2,16.08,16.03
20,Assoc.Alcohols,469.1,13.24,848.1,0.21,13.41,32.12,184.3,130.55,27.84,616.94,14.07,64.06,13.41,2.71,16.42,28.83
